"name","address"
"San Jose Diridon Caltrain Station","500-598 Crandall St, San Jose, CA 95110, USA"
"San Jose Civic Center","101-127 W San Carlos St, San Jose, CA 95113, USA"
"Santa Clara at Almaden","244-276 W Santa Clara St, San Jose, CA 95110, USA"
"Adobe on Almaden","151 Almaden Blvd, San Jose, CA 95113, USA"
"San Pedro Square","56-98 N San Pedro St, San Jose, CA 95110, USA"
"Paseo de San Antonio","176-198 S Second St, San Jose, CA 95113, USA"
"San Salvador at 1st","1-49 E San Salvador St, San Jose, CA 95113, USA"
"Japantown","198 Jackson St, San Jose, CA 95112, USA"
"San Jose City Hall","26 S 4th St, San Jose, CA 95112, USA"
"MLK Library","162 E San Fernando St, San Jose, CA 95112, USA"
"SJSU 4th at San Carlos","303-333 S 4th St, San Jose, CA 95112, USA"
"St James Park","110 N 3rd St, San Jose, CA 95112, USA"
"Arena Green / SAP Center","50-56 N Autumn St, San Jose, CA 95110, USA"
"SJSU - San Salvador at 9th","400-438 S 9th St, San Jose, CA 95112, USA"
"Franklin at Maple","101 Franklin St, Redwood City, CA 94063, USA"
"Redwood City Caltrain Station","2421 Broadway St, Redwood City, CA 94063, USA"
"San Mateo County Center","599 Winslow St, Redwood City, CA 94063, USA"
"Redwood City Public Library","1024-1026 Middlefield Rd, Redwood City, CA 94063, USA"
"Broadway at Main","1916-1998 Broadway St, Redwood City, CA 94063, USA"
"Redwood City Medical Center","1125 Marshall St, Redwood City, CA 94063, USA"
"Mountain View City Hall","578 Castro St, Mountain View, CA 94041, USA"
"Mountain View Caltrain Station","600-698 W Evelyn Ave, Mountain View, CA 94041, USA"
"San Antonio Caltrain Station","2075-2101 Showers Dr, Mountain View, CA 94040, USA"
"Evelyn Park and Ride","67-77 E Evelyn Ave, Mountain View, CA 94041, USA"
"San Antonio Shopping Center","2438-2498 Latham St, Mountain View, CA 94040, USA"
"Castro Street and El Camino Real","905 Castro St, Mountain View, CA 94041, USA"
"Rengstorff Avenue / California Street","255 S Rengstorff Ave, Mountain View, CA 94040, USA"
"Palo Alto Caltrain Station","421 Alma St, Palo Alto, CA 94301, USA"
"University and Emerson","171 University Ave, Palo Alto, CA 94301, USA"
"California Ave Caltrain Station","2351 Park Blvd, Palo Alto, CA 94306, USA"
"Cowper at University","525 University Ave, Palo Alto, CA 94301, USA"
"Park at Olive","2901-3045 Park Blvd, Palo Alto, CA 94306, USA"
"Powell Street BART","934 Market St, San Francisco, CA 94102, USA"
"Clay at Battery","355-399 Clay St, San Francisco, CA 94111, USA"
"Davis at Jackson","520-528 Davis St, San Francisco, CA 94111, USA"
"Commercial at Montgomery","581-599 Commercial St, San Francisco, CA 94111, USA"
"Washington at Kearney","650 Washington St, San Francisco, CA 94111, USA"
"Post at Kearney","90 Post St, San Francisco, CA 94104, USA"
"Embarcadero at Vallejo","29 The Embarcadero, San Francisco, CA 94111, USA"
"Spear at Folsom","341-357 Spear St, San Francisco, CA 94105, USA"
"Harry Bridges Plaza (Ferry Building)","1055 The Embarcadero, San Francisco, CA 94105, USA"
"Embarcadero at Folsom","236-252 The Embarcadero, San Francisco, CA 94105, USA"
"Embarcadero at Bryant","496-498 The Embarcadero, San Francisco, CA 94105, USA"
"Temporary Transbay Terminal (Howard at Beale)","300-342 Howard St, San Francisco, CA 94105, USA"
"Beale at Market","77 Beale St, San Francisco, CA 94105, USA"
"5th at Howard","155-199 5th St, San Francisco, CA 94103, USA"
"San Francisco City Hall","135 Polk St, San Francisco, CA 94102, USA"
"Golden Gate at Polk","450-498 Golden Gate Ave, San Francisco, CA 94102, USA"
"Embarcadero at Sansome","1159-1199 The Embarcadero, San Francisco, CA 94111, USA"
"2nd at Townsend","701 2nd St, San Francisco, CA 94107, USA"
"2nd at Folsom","303 2nd St, San Francisco, CA 94107, USA"
"Howard at 2nd","594 Howard St, San Francisco, CA 94105, USA"
"2nd at South Park","550-572 2nd St, San Francisco, CA 94107, USA"
"Townsend at 7th","618-644 Townsend St, San Francisco, CA 94103, USA"
"South Van Ness at Market","1-9 S Van Ness Ave, San Francisco, CA 94103, USA"
"Market at 10th","1357-1399 Market St, San Francisco, CA 94103, USA"
"Yerba Buena Center of the Arts (3rd @ Howard)","740-798 Howard St, San Francisco, CA 94103, USA"
"San Francisco Caltrain 2 (330 Townsend)","332 Townsend St, San Francisco, CA 94107, USA"
"San Francisco Caltrain (Townsend at 4th)","311 Townsend St, San Francisco, CA 94107, USA"
"Powell at Post (Union Square)","401-433 Powell St, San Francisco, CA 94102, USA"
"Civic Center BART (7th at Market)","Civic Center /UN Plaza BART, San Francisco, CA 94102, USA"
"Grant Avenue at Columbus Avenue","1305-1307 Grant Ave, San Francisco, CA 94133, USA"
"Steuart at Market","30 Steuart St, San Francisco, CA 94105, USA"
"Mechanics Plaza (Market at Battery)","450 Market St, San Francisco, CA 94111, USA"
"Market at 4th","20 Yerba Buena Ln, San Francisco, CA 94103, USA"
"Market at Sansome","544 Market St, San Francisco, CA 94104, USA"
"San Jose Government Center","950 N San Pedro St, San Jose, CA 95110, USA"
"Broadway St at Battery St","123 Broadway, San Francisco, CA 94111, USA"
"Mezes Park","301-399 Standish St, Redwood City, CA 94063, USA"
"Ryland Park","407-421 N 1st St, San Jose, CA 95112, USA"
